Time; Temperature; Luminosity 
144.621; 25.75; 420.0
144.8; 25.75; 413.3333
144.982; 25.75; 413.3333
145.161; 25.75; 413.3333
145.34; 25.75; 420.0
145.518; 25.75; 413.3333
145.697; 0.0; 420.0
145.875; 25.75; 420.0
146.054; 25.75; 413.3333
146.233; 25.75; 413.3333
146.412; 25.75; 420.0
146.591; 25.75; 413.3333
146.772; 25.75; 413.3333
146.951; 25.75; 420.0
147.135; 25.75; 420.0
147.314; 25.75; 413.3333
147.493; 25.75; 413.3333
147.672; 25.75; 420.0
147.851; 25.75; 420.0
148.03; 25.75; 413.3333
148.209; 25.75; 420.0
148.388; 25.75; 413.3333
148.567; 25.75; 413.3333
148.746; 25.75; 413.3333
148.925; 25.75; 420.0
149.104; 25.75; 413.3333
149.283; 25.75; 420.0
149.462; 25.75; 420.0
149.641; 25.75; 413.3333
149.82; 25.75; 413.3333
149.999; 25.75; 420.0
150.178; 25.75; 413.3333
150.357; 25.75; 413.3333
150.54; 25.75; 420.0
150.719; 25.75; 413.3333
150.898; 0.0; 413.3333
151.082; 25.75; 413.3333
151.261; 25.75; 420.0
151.44; 25.75; 420.0
151.618; 25.75; 413.3333
151.797; 0.0; 420.0
151.975; 25.75; 413.3333
152.154; 25.75; 413.3333
152.333; 25.75; 413.3333
152.512; 25.75; 420.0
152.691; 25.75; 413.3333
152.87; 25.75; 420.0
153.048; 25.75; 413.3333
153.227; 0.0; 413.3333
153.406; 25.75; 413.3333
153.585; 25.75; 420.0
153.764; 25.75; 413.3333
153.943; 25.75; 420.0
154.122; 25.75; 420.0
154.301; 25.75; 413.3333
154.48; 25.75; 413.3333
154.659; 25.75; 413.3333
154.843; 25.75; 173.3333
155.023; 25.75; 286.6667
155.203; 25.75; 380.0
155.383; 25.75; 393.3333
155.563; 25.75; 393.3333
155.742; 25.75; 386.6667
155.922; 25.75; 393.3333
156.101; 25.75; 540.0
156.285; 25.75; 693.3333
156.465; 25.75; 773.3333
156.645; 25.75; 773.3333
156.825; 25.75; 666.6666
157.005; 25.75; 93.33333
157.185; 25.75; 20.0
157.364; 25.75; 20.0
157.543; 0.0; 20.0
157.722; 26.5; 20.0
157.901; 26.5; 20.0
158.08; 0.0; 20.0
158.259; 27.0; 20.0
158.438; 27.0; 13.33333
158.618; 0.0; 13.33333
158.798; 27.25; 13.33333
158.983; 27.5; 20.0
159.162; 27.5; 20.0
159.341; 27.5; 20.0
159.52; 0.0; 20.0
159.699; 27.75; 20.0
159.878; 27.75; 20.0
160.057; 0.0; 13.33333
160.237; 28.0; 13.33333
160.416; 28.0; 13.33333
160.595; 28.0; 20.0
160.778; 28.25; 20.0
160.957; 28.25; 20.0
161.136; 28.25; 13.33333
161.315; 28.25; 13.33333
161.495; 28.25; 13.33333
161.677; 28.25; 13.33333
161.857; 28.25; 20.0
162.036; 28.25; 20.0
162.215; 0.0; 13.33333
162.395; 28.5; 13.33333
162.575; 28.5; 13.33333
162.755; 28.5; 20.0
162.934; 28.5; 20.0
163.117; 0.0; 13.33333
163.296; 28.5; 13.33333
163.475; 28.5; 13.33333
163.654; 28.5; 13.33333
163.833; 28.5; 13.33333
164.012; 28.5; 13.33333
164.191; 28.75; 20.0
164.369; 28.75; 20.0
164.547; 0.0; 13.33333
164.726; 28.75; 13.33333
164.905; 0.0; 13.33333
165.084; 0.0; 13.33333
165.263; 28.75; 13.33333
165.442; 28.75; 13.33333
165.621; 28.75; 20.0
165.8; 28.75; 13.33333
165.979; 29.0; 13.33333
166.158; 0.0; 20.0
166.336; 0.0; 13.33333
166.515; 0.0; 13.33333
166.694; 29.0; 13.33333
166.873; 29.0; 13.33333
167.057; 29.0; 13.33333
167.241; 0.0; 13.33333
167.42; 29.0; 20.0
167.598; 29.0; 13.33333
167.777; 0.0; 13.33333
167.956; 29.0; 13.33333
168.135; 29.0; 20.0
168.313; 29.0; 13.33333
168.492; 0.0; 13.33333
168.671; 29.0; 13.33333
168.85; 29.0; 13.33333
